Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (us),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (us),monte carlo run
0.309073,ttmm,1.8,-40.0,0.003,0.005,598.202,85.01208970384305,-0.2055534651,124.271883,0.02236146840000002,0.002670999999999979,0.913326,83.80000000000007,0
0.327919,ttmm,1.8,-40.0,0.002,0.009,545.602,86.94252637481442,-0.06535566144000002,116.01759960000001,0.022357985400000016,-0.005767999999999995,0.886953,,1
0.340436,ttmm,1.8,-40.0,0.003,0.005,510.30300000000005,84.69464494390161,-0.19361462778,115.1039646,0.02238383699999997,0.001599000000000017,0.987642,103.70100000000008,2
0.251678,ttmm,1.8,-40.0,0.003,0.005,598.202,80.05694121572492,-0.20609357849999996,111.82832640000001,0.022385249999998837,0.009822000000000108,0.865399,82.79699999999991,3
0.315284,ttmm,1.8,-40.0,0.003,0.007,521.502,81.94744815021282,-0.1879092970199977,110.1777696,0.02236600980000225,0.0013689999999999536,0.886934,83.79999999999995,4
0.268187,ttmm,1.8,-40.0,0.003,0.005,600.0,84.42242777841604,-0.15958047131999986,129.7524402,0.022326350400000135,0.008075999999999972,0.894439,78.49800000000005,5
0.308305,ttmm,1.8,-40.0,0.003,0.006,600.0,85.56998873135905,0.0043658283599999955,114.79262580000001,0.02235740399999999,0.005800999999999945,0.923017,78.59500000000003,6
0.346257,ttmm,1.8,-40.0,0.003,0.005,598.0020000000001,82.3830383950858,-0.1956018150000001,112.3220448,0.02237179499999991,0.00011900000000009126,0.903716,82.70000000000005,7
0.295538,ttmm,1.8,-40.0,0.003,0.006,579.102,80.82576016157086,-0.18800819783999997,119.43299880000001,0.02258999279999996,0.005377999999999994,0.891246,83.79699999999997,8
0.267255,ttmm,1.8,-40.0,0.003,0.005,600.0,80.98045252334256,-0.21885465959999997,113.36644619999998,0.02238382259999999,0.008258000000000099,0.940623,83.49800000000005,9
0.284089,ttmm,1.8,-40.0,0.003,0.007,560.4050000000001,77.4366292671207,0.020687278679998856,115.68201119999999,0.022374156599997735,0.0073030000000000594,0.897884,82.90300000000008,10
0.304285,ttmm,1.8,-40.0,0.004,0.005,506.90200000000004,77.30963403913991,-0.005527513980000002,121.5722574,0.022309529399999962,0.0026650000000000285,0.875834,82.80000000000007,11
0.336514,ttmm,1.8,-40.0,0.003,0.007,586.202,85.7900924614268,-0.22504001634,121.04667360000002,0.02235463379999891,-0.0015570000000000306,0.910335,82.79700000000003,12
0.312689,ttmm,1.8,-40.0,0.003,0.005,511.302,83.41273709071021,-0.20759561820000008,123.761475,0.0223171668,0.0036930000000000573,0.937318,104.70000000000005,13
0.308791,ttmm,1.8,-40.0,0.003,0.005,510.302,82.2588452615057,-0.20796154073999998,111.18342600000001,0.02238143579999998,0.004398000000000013,0.959489,103.70000000000005,14
0.305795,ttmm,1.8,-40.0,0.003,0.005,510.30300000000005,80.28793880196821,-0.21019062402000002,108.47929500000002,0.02238103439999997,0.005110000000000059,0.905088,103.70100000000008,15
0.296151,ttmm,1.8,-40.0,0.004,0.001,522.0020000000001,81.28573740854752,-0.23707077138,117.17703720000002,0.022318570799999965,-1.399999999995849e-05,0.872726,83.70000000000005,16
0.281554,ttmm,1.8,-40.0,0.003,0.005,600.0,83.36168033405478,-0.18474510168000005,115.0450488,0.022381997399999985,0.005311999999999983,0.918973,80.495,17
0.310157,ttmm,1.8,-40.0,0.003,0.006,600.0,84.03851097856969,-0.2162403709199977,112.1209434,0.022357947600002252,0.0023600000000000287,0.919127,80.495,18
0.339345,ttmm,1.8,-40.0,0.002,0.009,519.702,88.87485291461668,0.02235449700000002,118.81384200000001,0.02235458700000002,-0.006481999999999988,0.914267,,19
0.246826,ttmm,1.8,-40.0,0.004,0.004,553.105,74.39253738410702,-0.25666212456000115,117.2723148,0.022302754199998876,0.008066000000000018,0.86914,83.803,20
0.305082,ttmm,1.8,-40.0,0.003,0.006,579.102,81.01635809007576,-0.20604918761999994,122.333715,0.022586403600000072,0.003158999999999912,0.89054,83.79699999999997,21
0.299271,ttmm,1.8,-40.0,0.003,0.005,532.505,80.87555430535114,-0.19205674883999996,110.6236134,0.02238731280000007,0.002990999999999966,0.873189,82.803,22
0.271685,ttmm,1.8,-40.0,0.004,0.004,527.0020000000001,79.68973509192398,-0.23512596839999997,123.9891858,0.022304822400000056,0.0045319999999999805,0.874954,83.80000000000007,23
0.328828,ttmm,1.8,-40.0,0.003,0.005,509.303,84.55230633451907,-0.19237906440000002,114.196788,0.022384170000000037,0.002882000000000051,0.894356,82.70100000000002,24
0.283321,ttmm,1.8,-40.0,0.004,0.004,529.005,81.64620297832096,-0.28150317486,127.9929384,0.022300900200000025,0.004004999999999925,0.877059,83.803,25
0.306139,ttmm,1.8,-40.0,0.003,0.006,579.102,82.51240262788481,-0.21358645577999993,112.64009039999999,0.02245369680000006,0.004170000000000007,0.899302,83.79699999999997,26
0.300437,ttmm,1.8,-40.0,0.003,0.005,600.0,86.02236268642424,-0.1801796270400001,132.67674,0.02231879939999983,0.004481999999999986,0.904376,80.495,27
0.299329,ttmm,1.8,-40.0,0.003,0.002,593.3050000000001,88.84261782489187,-0.20756270069999996,116.7346296,0.022375965599999943,-0.00010100000000001774,0.880436,83.70300000000009,28
0.294458,ttmm,1.8,-40.0,0.004,0.003,546.702,78.87067410306891,0.020605869539996574,121.6165428,0.022323513599996573,0.0019739999999999203,0.871294,83.69999999999999,29
0.354711,ttmm,1.8,0.0,0.004,0.002,590.7049999999999,77.60366898669848,0.019649861279999938,112.65981119999998,0.022654029599999938,-0.0007030000000000092,0.795339,83.69999999999987,0
0.366641,ttmm,1.8,0.0,0.003,0.006,578.1020000000001,79.12404833405719,-0.09405921240000005,103.62731939999999,0.02274485219999889,0.003897999999999957,0.800126,82.79700000000008,1
0.321885,ttmm,1.8,0.0,0.003,0.005,600.0,80.87586295988093,0.02003318550000001,119.99458080000001,0.022610912400000013,0.008912000000000031,0.795818,80.495,2
0.266176,ttmm,1.8,0.0,0.003,0.006,600.0,74.92031501307255,-0.12813148070999997,111.0486024,0.022599374399999907,0.012719000000000036,0.778752,80.298,3
0.335623,ttmm,1.8,0.0,0.004,0.004,526.705,73.15591411377696,-0.1723405917600023,113.0091804,0.02261551859999773,0.0037009999999999543,0.791658,83.70300000000003,4
0.329705,ttmm,1.8,0.0,0.004,0.004,525.805,73.97933300724718,-0.22440006107999896,112.01354640000001,0.022624461000001116,0.003754999999999953,0.792426,83.80299999999994,5
0.337216,ttmm,1.8,0.0,0.004,0.003,545.7049999999999,75.72836848954958,0.018970609320000113,113.98658760000001,0.02259487980000011,0.0038920000000000066,0.792905,83.70299999999992,6
0.397907,ttmm,1.8,0.0,0.003,0.009,543.9019999999999,77.49640306888986,-0.03752856341999888,109.3802454,0.022658619600001123,-0.007713000000000081,0.796837,83.69999999999993,7
0.322541,ttmm,1.8,0.0,0.004,0.002,505.00199999999995,75.93213491693976,-0.19643398686000005,109.054107,0.022595579999999997,0.002850999999999937,0.78938,83.69999999999993,8
0.309853,ttmm,1.8,0.0,0.004,0.003,572.105,73.45763738235921,-0.1403343210599999,109.9593018,0.02258674020000013,0.00555300000000003,0.791338,83.803,9
0.336955,ttmm,1.8,0.0,0.004,0.005,507.00500000000005,71.73242253098434,-0.16084151262,112.26600900000001,0.022602707999998785,0.0037289999999999823,0.793479,83.80300000000005,10
0.342125,ttmm,1.8,0.0,0.005,0.002,553.705,72.51166716487644,-0.1824700584599977,110.5324938,0.022578582600002277,0.0010769999999999946,0.790135,103.803,11
0.36191,ttmm,1.8,0.0,0.004,0.005,508.102,75.67114037798981,0.01885148783999985,114.373125,0.022613900399999883,0.0005260000000000264,0.796828,83.80000000000001,12
0.317937,ttmm,1.8,0.0,0.003,0.007,588.605,78.63139138663175,-0.1701346563000001,114.40483739999999,0.022592043000001137,0.010050000000000003,0.795149,83.89999999999998,13
