,v1a_,v2a_,vout_,name,type,time,OK
0,0.8306034,0.8177466,0.2471531,tran_SchGtKttTlVt,Sch,Tue Dec 16 10:44:48 2025,True
1,0.5305285,0.4901064,0.2479299,tran_SchGtKttThVt,Sch,Tue Dec 16 10:44:48 2025,True
2,0.714289,0.6902896,0.2467652,tran_SchGtKttTtVt,Sch,Tue Dec 16 10:42:14 2025,True
