Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.858135,0.009,0.004,-17.294058000000003,594.6282,102.34034722948394
-35.0,0.872434,0.009,0.004,-15.757019999999999,599.1354,104.2596117535978
-30.0,0.872831,0.009,0.004,-14.720796,604.2204,103.63790649001108
-25.0,0.873111,0.009,0.004,-37.12464000000001,590.625,102.47047266843342
-20.0,0.87774,0.009,0.004,-14.995314,614.6694,101.70478228771742
-15.0,0.874277,0.009,0.004,-14.847246000000002,619.8354,101.16278256490438
-10.0,0.879067,0.009,0.004,-79.61057999999998,624.7692000000001,100.6439501472471
-5.0,0.879794,0.009,0.004,-42.42996,632.1906,99.15051244457811
0.0,0.897561,0.009,0.005,-58.603320000000004,639.1278,98.31902964546279
5.0,0.8982,0.009,0.005,-76.3911,645.237,96.96975302275258
10.0,0.899068,0.009,0.005,-44.55684,653.0544000000001,95.69071874059779
15.0,0.899794,0.009,0.005,-57.536820000000006,660.9852,94.31960785507435
20.0,0.900569,0.009,0.005,-73.14354,668.0466,92.84701165281497
25.0,0.901323,0.009,0.005,-88.93962,676.3572,91.77515181150277
30.0,0.882379,0.009,0.004,-106.86258,684.261,88.86913649423428
35.0,0.903236,0.009,0.005,-123.69366,691.4898000000001,87.80960416563424
40.0,0.904363,0.009,0.005,-134.51075999999998,699.4908,86.39555743843117
45.0,0.905121,0.009,0.005,-146.34882000000002,707.0616,84.94323936990777
50.0,0.907139,0.009,0.005,-185.4792,687.6684,81.99655426387812
55.0,0.908383,0.009,0.005,-53.22996,713.7864000000001,81.89768607269971
60.0,0.909711,0.009,0.005,-58.23702000000001,730.35,80.80661710503713
65.0,0.910999,0.009,0.005,-87.11046,713.214,77.30363212698708
70.0,0.908349,0.009,0.005,-64.74528000000001,749.907,77.82044964437912
75.0,0.923816,0.009,0.006,-137.46204,724.8006,73.56935167622942
80.0,0.925311,0.009,0.006,-145.96236,734.3496,72.10149990086812
85.0,0.931649,0.009,0.006,-87.7536,775.3032000000001,73.98818740176844
90.0,0.933043,0.009,0.006,-96.7887,783.3348000000001,72.71697999664828
95.0,0.934637,0.009,0.006,-106.78986,790.3080000000001,71.47063992361493
100.0,0.936178,0.009,0.006,-117.11717999999999,794.8224,70.13988044101244
105.0,0.939384,0.009,0.006,-131.25978,796.5576,68.88444574608536
110.0,0.940913,0.009,0.006,-137.3373,796.6746,67.78870508384364
115.0,0.943028,0.009,0.006,-139.53168,790.4105999999999,66.710258028944
120.0,0.944948,0.009,0.006,-138.70476,783.3726,65.22110989712719
125.0,0.946905,0.009,0.006,-136.02636,772.0794,64.02619341741122
