Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW),Voltage supply (V),Process corner
-40.0,0.895122,0.01,0.003,-75.09240000000001,615.9168000000001,101.26463299961603,1.8,Typical
-35.0,0.907909,0.01,0.003,-25.43418,637.3404,101.34341257659719,1.8,Typical
-30.0,0.909763,0.01,0.003,-19.59732,649.305,100.63569867795098,1.8,Typical
-25.0,0.910703,0.01,0.003,-38.99466,634.995,99.62529370264765,1.8,Typical
-20.0,0.912235,0.01,0.003,-19.58508,660.6360000000001,99.98950660539614,1.8,Typical
-15.0,0.896618,0.01,0.002,1.0557972000000002,682.5276,99.41247395398682,1.8,Typical
-10.0,0.916181,0.01,0.003,-30.71934,672.9246,102.89177631705986,1.8,Typical
-5.0,0.932838,0.01,0.003,-49.084379999999996,678.3516,102.03731249118262,1.8,Typical
0.0,0.934133,0.01,0.003,-64.77534,687.096,100.82338761880717,1.8,Typical
5.0,0.935583,0.01,0.003,-84.35718,692.8326,99.79854683991523,1.8,Typical
10.0,0.936934,0.01,0.003,-139.57848,686.5542,98.28927573198277,1.8,Typical
15.0,0.915994,0.01,0.002,-31.392539999999997,745.5798,98.68000754932316,1.8,Typical
20.0,0.941698,0.01,0.003,-81.46368,718.2918,95.65779715780458,1.8,Typical
25.0,0.919468,0.01,0.002,-65.50938,759.8412,95.83711432772104,1.8,Typical
30.0,0.942797,0.01,0.003,-116.81478000000001,735.7824,92.72662264616923,1.8,Typical
35.0,0.944244,0.01,0.003,-137.78748000000002,740.3670000000001,91.23260699335975,1.8,Typical
40.0,0.938409,0.01,0.003,-145.76724000000002,752.3639999999999,89.19125247233102,1.8,Typical
45.0,0.94019,0.01,0.003,-158.21730000000002,760.6404000000001,87.62116065824364,1.8,Typical
50.0,0.94198,0.01,0.003,-172.863,766.872,86.13948097446517,1.8,Typical
55.0,0.93146,0.01,0.002,-60.58836,777.8178,84.75802593693724,1.8,Typical
60.0,0.933408,0.01,0.002,-62.62326,787.4658,83.19470916995257,1.8,Typical
65.0,0.954422,0.01,0.003,-101.47194,762.3000000000001,80.25831954375516,1.8,Typical
70.0,0.924197,0.01,0.001,-75.27744,806.058,80.33407913845379,1.8,Typical
75.0,0.926107,0.01,0.001,-81.60354,816.6185999999999,78.68674143004891,1.8,Typical
80.0,0.928314,0.01,0.001,-89.52300000000001,826.1298,77.17412182598027,1.8,Typical
85.0,0.930568,0.01,0.001,-97.7571,835.8084000000001,75.72348934144983,1.8,Typical
90.0,0.932863,0.01,0.001,-108.54108000000001,843.489,74.37659726744846,1.8,Typical
95.0,0.93516,0.01,0.001,-117.06894000000001,851.8392,72.89260566447456,1.8,Typical
100.0,0.929474,0.009,0.008,-127.95246,856.9692,71.11256765474116,1.8,Typical
105.0,0.931555,0.009,0.008,-143.27532000000002,859.0752,69.80181866594906,1.8,Typical
110.0,0.93369,0.009,0.008,-150.42024,858.5532000000001,68.45697439397794,1.8,Typical
115.0,0.940089,0.009,0.007,-150.54156,854.0964,67.2492827432153,1.8,Typical
120.0,0.958844,0.009,0.008,-238.3884,895.6691999999999,64.73086111186988,1.8,Typical
125.0,0.958065,0.009,0.007,-147.53862,833.5944000000001,64.76326443762764,1.8,Typical
