Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.916333,0.009,0.008,-1.86696e-05,0.0006389424,0.0001015041090458445
-35.0,0.916935,0.009,0.008,-1.959966e-05,0.0006435216,0.00010075384774162896
-30.0,0.917576,0.009,0.008,-1.9597140000000002e-05,0.000649305,0.00010029902057065572
-25.0,0.918256,0.009,0.008,-3.712464e-05,0.0006356555999999999,9.943755308273612e-05
-20.0,0.928645,0.009,0.008,-1.9585080000000002e-05,0.0006606378,0.00010028507836547589
-15.0,0.88987,0.01,0.001,-1.972422e-05,0.0006662718,0.00010284866622491282
-10.0,0.891681,0.01,0.001,-7.961057999999999e-05,0.0006717006,0.00010246274869497017
-5.0,0.892359,0.01,0.001,-4.7770739999999996e-05,0.0006796314,0.00010127624296529298
0.0,0.894121,0.01,0.001,-6.47757e-05,0.000687096,0.00010021586161616676
5.0,0.895907,0.01,0.001,-8.3421e-05,0.000693747,9.899513199705827e-05
10.0,0.897726,0.01,0.001,-5.160186e-05,0.0007021223999999999,9.779951895011483e-05
15.0,0.899565,0.01,0.001,-6.518214e-05,0.000710631,9.649462547046611e-05
20.0,0.90143,0.01,0.001,-8.146422e-05,0.0007182918,9.508624372866018e-05
25.0,0.903322,0.01,0.001,-9.802170000000001e-05,0.000727227,9.396749613484782e-05
30.0,0.905242,0.01,0.001,-0.0001168146,0.0007357824000000001,9.22220605498077e-05
35.0,0.907185,0.01,0.001,-0.00013444992,0.000743679,9.03891097873728e-05
40.0,0.909162,0.01,0.001,-0.00014576778,0.0007523639999999999,8.87509785426955e-05
45.0,0.911167,0.01,0.001,-0.00015821748000000003,0.0007606386,8.725652108378577e-05
50.0,0.913236,0.01,0.001,-0.0001980324,0.0007419455999999999,8.455651934175875e-05
55.0,0.915269,0.01,0.001,-6.075072e-05,0.0007686918,8.409965466732127e-05
60.0,0.917371,0.01,0.001,-6.403842e-05,0.0007860528,8.286553469794041e-05
65.0,0.918831,0.01,0.001,-9.552438e-05,0.0007697412,7.979553252222951e-05
70.0,0.921679,0.01,0.001,-7.405794000000001e-05,0.000807273,7.97683431843418e-05
75.0,0.92393,0.01,0.001,-0.00013746204,0.0007832466,7.60929472909188e-05
80.0,0.926175,0.01,0.001,-0.00014596236,0.0007937298,7.455574439661249e-05
85.0,0.928261,0.01,0.001,-9.832698000000001e-05,0.0008352467999999999,7.53904776554515e-05
90.0,0.931187,0.01,0.001,-0.00010792206,0.0008441064,7.399153969131902e-05
95.0,0.933311,0.01,0.001,-0.00011706912,0.0008518392,7.269312162454053e-05
100.0,0.95033,0.009,0.008,-0.00012795228000000002,0.0008569692,7.070521631953923e-05
105.0,0.952292,0.009,0.008,-0.00014327478,0.0008590752,6.943025346044118e-05
110.0,0.953144,0.009,0.008,-0.00014963166,0.0008593398,6.824351418820096e-05
115.0,0.936374,0.009,0.007,-0.00015168366,0.0008529552,6.728579396309573e-05
120.0,0.938647,0.009,0.007,-0.00015059196,0.0008455302,6.589399308226685e-05
125.0,0.940973,0.009,0.007,-0.00014753862,0.0008335944,6.460029434622384e-05
