Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.916333,0.009,0.008,-1.86696e-05,0.0006389424,0.0001015041090458445
0.0,0.894121,0.01,0.001,-6.47757e-05,0.000687096,0.00010021586161616676
125.0,0.940973,0.009,0.007,-0.00014753862,0.0008335944,6.460029434622384e-05
