Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V)
0.926403,Typical,1.8,-40.0,0.009,0.008,362302.0,92.27270755903326,-0.05165416799999911,123.7848786,0.02309298839999997,-0.006229999999999958,1.07524
0.894067,Typical,1.8,0.0,0.01,0.001,325302.0,95.04740477056437,-0.6784083486000003,123.6127014,0.023210402400000017,0.0010229999999999961,0.813995
0.909103,Typical,1.8,40.0,0.01,0.001,299302.0,83.81933086066181,-0.9653447303999998,109.92764491200002,0.023667944399999984,0.0010669999999999291,0.733058
0.926066,Typical,1.8,80.0,0.01,0.001,271302.0,72.24187846228939,-1.2601113912000004,96.71906519999999,0.027025381799999994,0.0005629999999999802,0.659672
0.939842,Typical,1.8,125.0,0.009,0.007,355702.0,58.26471310231272,-0.17811318239999938,92.82870360000001,0.04854900780000002,0.005052999999999974,0.579461
