,ibias_199ns,name,type,time,OK
0,0.00039445290000000003,tran_SchGtKttmmTtVt_29,Sch,Thu Dec 11 23:00:13 2025,False
1,0.0003741385,tran_SchGtKttmmTtVt_28,Sch,Thu Dec 11 23:00:12 2025,False
2,0.0003807088,tran_SchGtKttmmTtVt_27,Sch,Thu Dec 11 23:00:11 2025,False
3,0.0003906656,tran_SchGtKttmmTtVt_26,Sch,Thu Dec 11 23:00:10 2025,False
4,0.0003888779,tran_SchGtKttmmTtVt_25,Sch,Thu Dec 11 23:00:09 2025,False
5,0.0003625745,tran_SchGtKttmmTtVt_24,Sch,Thu Dec 11 23:00:08 2025,False
6,0.00037863240000000003,tran_SchGtKttmmTtVt_23,Sch,Thu Dec 11 23:00:07 2025,False
7,0.00036173280000000003,tran_SchGtKttmmTtVt_22,Sch,Thu Dec 11 23:00:05 2025,False
8,0.0003704758,tran_SchGtKttmmTtVt_21,Sch,Thu Dec 11 23:00:04 2025,False
9,0.0004033418,tran_SchGtKttmmTtVt_20,Sch,Thu Dec 11 23:00:03 2025,False
10,0.00038156290000000004,tran_SchGtKttmmTtVt_19,Sch,Thu Dec 11 23:00:02 2025,False
11,0.0003700139,tran_SchGtKttmmTtVt_18,Sch,Thu Dec 11 23:00:01 2025,False
12,0.00038844,tran_SchGtKttmmTtVt_17,Sch,Thu Dec 11 23:00:00 2025,False
13,0.0003608107,tran_SchGtKttmmTtVt_16,Sch,Thu Dec 11 22:59:59 2025,False
14,0.0003656637,tran_SchGtKttmmTtVt_15,Sch,Thu Dec 11 22:59:57 2025,False
15,0.0003822704,tran_SchGtKttmmTtVt_14,Sch,Thu Dec 11 22:59:56 2025,False
16,0.0003937264,tran_SchGtKttmmTtVt_13,Sch,Thu Dec 11 22:59:55 2025,False
17,0.0003768724,tran_SchGtKttmmTtVt_12,Sch,Thu Dec 11 22:59:54 2025,False
18,0.0003863714,tran_SchGtKttmmTtVt_11,Sch,Thu Dec 11 22:59:53 2025,False
19,0.000403742,tran_SchGtKttmmTtVt_10,Sch,Thu Dec 11 22:59:52 2025,False
20,0.0003775282,tran_SchGtKttmmTtVt_9,Sch,Thu Dec 11 22:59:51 2025,False
21,0.0003741394,tran_SchGtKttmmTtVt_8,Sch,Thu Dec 11 22:59:49 2025,False
22,0.0003695707,tran_SchGtKttmmTtVt_7,Sch,Thu Dec 11 22:59:48 2025,False
23,0.000375932,tran_SchGtKttmmTtVt_6,Sch,Thu Dec 11 22:59:47 2025,False
24,0.0003728609,tran_SchGtKttmmTtVt_5,Sch,Thu Dec 11 22:59:46 2025,False
25,0.00038338630000000004,tran_SchGtKttmmTtVt_4,Sch,Thu Dec 11 22:59:45 2025,False
26,0.0003862799,tran_SchGtKttmmTtVt_3,Sch,Thu Dec 11 22:59:44 2025,False
27,0.0003905384,tran_SchGtKttmmTtVt_2,Sch,Thu Dec 11 22:59:43 2025,False
28,0.000380257,tran_SchGtKttmmTtVt_1,Sch,Thu Dec 11 22:59:42 2025,False
29,0.00037511509999999996,tran_SchGtKttmmTtVt,Sch,Thu Dec 11 22:59:40 2025,False
